"District/LEA","District #","School","School #","Private","Charter","T-I Prev.","T-I Curr.","Grades","Address","City","Zip","Map","Link","Stats","Phone","Fax","Chartered By","Opened","Closed","Principal/Director","Principal Name","Principal Email"
"Alpine District","01","Springside School","202","Public","","","?","Pre - 6","694 South Highpoint Drive","SARATOGA SPRINGS","84045","geo:40.3494704,-111.9152738","springside.alpineschools.org","https://datagateway.schools.utah.gov/Schools/01202","801-610-8732","801-854-5505","","2016","","Principal","Gary Gibb","ggibb@alpinedistrict.org"
"Alpine District","01","Summit High","730","Public","","","?","7 - 12","704 S Utah Valley Drive","AMERICAN FORK","84003","geo:40.36151,-111.78277","","https://datagateway.schools.utah.gov/Schools/01730","801-610-8183","801-756-8563","","1983","","Director","Daniel Biolo","dbiolo@alpinedistrict.org"
"Alpine District","01","Thunder Ridge School","256","Public","","","?","Pre - 6","264 N. 750 W","SARATOGA SPRINGS","84045","geo:40.365891,-111.929182","","https://datagateway.schools.utah.gov/Schools/01256","801-610-8727","801-766-2311","","2011","","Principal","Jeff Shirley","jshirley@alpinedistrict.org"
"Alpine District","01","Timberline Middle","420","Public","","","?","7 - 9","500 W CANYON CREST RD","ALPINE","84004","geo:40.45023,-111.787123","http://timberline.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01420","801-610-8765","801-763-7045","","2003","","Principal","Julie Price","jprice@alpinedistrict.org"
"Alpine District","01","Timpanogos High","718","Public","","","?","10 - 12","1450 N 200 E","OREM","84057","geo:40.322723,-111.691494","http://timpanogos.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01718","801-610-8175","801-223-3134","","1996","","Principal","Theron Murphy","tmurphhy@alpinedistrict.org"
"Alpine District","01","Trailside Elementary","206","Public","","","?","Pre - 6","452 N Vineyard Loop Road","VINEYARD","84058","geo:40.30451,-111.74758","","https://datagateway.schools.utah.gov/Schools/01206","801-610-8400","","","2021","","Principal","Edgar Guzman","eguzman@alpinedistrict.org"
"Alpine District","01","Traverse Mountain School","258","Public","","","?","Pre - 6","2500 W CHAPEL RIDGE RD","LEHI","84043","geo:40.446351,-111.888568","https://traversemountain.alpineschools.org","https://datagateway.schools.utah.gov/Schools/01258","801-610-8725","801-701-6280","","2010","","Principal","Karie Cooper","kcooper@alpinedistrict.org"
"Alpine District","01","Valley View School","176","Public","","","?","Pre - 6","941 ORCHARD DR","PLEASANT GROVE","84062","geo:40.358368,-111.71971","http://valleyview.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01176","801-610-8121","801-785-8725","","1967","2023","Principal","Carla Jensen","cjensen@alpinedistrict.org"
"Alpine District","01","Viewpoint Middle","435","Public","","","?","7 - 9","3950 N. Maple Hollow Blvd","LEHI","84043","geo:40.43652,-111.85334","www.alpineschools.org","https://datagateway.schools.utah.gov/Schools/01435","801-610-8400","","","2021","","Principal","Aaron Barth","abarth@alpinedistrict.org"
"Alpine District","01","Vineyard School","177","Public","","","?","Pre - 6","620 E HOLDAWAY RD","VINEYARD","84058","geo:40.289164,-111.73761","http://www.alpine.k12.ut.us/phpApps/genericPage.php?pdid=2008","https://datagateway.schools.utah.gov/Schools/01177","801-610-8122","801-227-2454","","1979","","Principal","Lori Bellitti","lbelitti@alpinedistrict.org"
"Alpine District","01","Vista Heights Middle","490","Public","","","?","7 - 10","484 W PONY EXPRESS PARKWAY","SARATOGA SPRINGS","84045","geo:40.363408,-111.92772","http://www.alpine.k12.ut.us/phpApps/genericPage.php?pdid=3075","https://datagateway.schools.utah.gov/Schools/01490","801-610-8770","801-763-7045","","2010","","Principal","Timothy Thompson","Tthompson@alpinedistrict.org"
"Alpine District","01","Westfield School","180","Public","","","?","Pre - 6","380 S LONG DR","ALPINE","84004","geo:40.448029,-111.7905","http://westfield.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01180","801-610-8720","801-763-7044","","2000","","Principal","Heather Stewart","hstewart@alpinedistrict.org"
"Alpine District","01","Westlake High","789","Public","","","?","10 - 12","99 N 200 W","SARATOGA SPRINGS","84045","geo:40.364009,-111.92298","http://westlake.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01789","801-610-8815","801-768-1068","","2009","","Principal","Christian Smith","chsmith@alpinedistrict.org"
"Alpine District","01","Westmore School","178","Public","","Title I","?","Pre - 6","1150 S MAIN","OREM","84058","geo:40.276684,-111.696851","","https://datagateway.schools.utah.gov/Schools/01178","801-610-8123","801-227-8744","","1950","","Principal","Victor Larsen","vlarsen@alpinedistrict.org"
"Alpine District","01","Willowcreek Middle","425","Public","","","?","7 - 9","2275 W 300 N","LEHI","84043","geo:40.389776,-111.884638","http://willowcreek.alpinedistrict.org/","https://datagateway.schools.utah.gov/Schools/01425","801-766-5273","801-766-5168","","2004","","Principal","Shane Hill","shanehill@alpinedistrict.org"
"Alpine District","01","Windsor School","182","Public","","Title I","?","Pre - 6","1315 N MAIN","OREM","84057","geo:40.321221,-111.696735","http://www.alpine.k12.ut.us/phpApps/genericPage.php?pdid=632","https://datagateway.schools.utah.gov/Schools/01182","801-610-8124","801-227-8747","","1956","","Principal","Jennifer Moore","jmoore@alpinedistrict.org"
"Alta Independent","AL","Alta Independent","955","Private","","","?","6 - 12","575 East University Parkway Suite E212","OREM","84097","geo:40.2751302,-111.6836036","www.altaindependent.com","","888-423-9192","","","2016","","Director","",""
"American Academy of Innovation","8K","American Academy of Innovation","700","Public","Charter","","?","6 - 12","5410 W South Jordan Parkway","South Jordan","84009","geo:40.5572631,-112.022192","www.aaiutah.org","https://datagateway.schools.utah.gov/Schools/8K700","801-810-4786","","State Charter School Board (SCSB)","2016","","Administrator","","scott.jones@aaiutah.org"
"American Heritage School","NZ","American Heritage School","950","Private","","","?","K - 12","736 NORTH 1100 EAST","AMERICAN FORK","84003","geo:40.39282,-111.76771","http://www.american-heritage.org","","801-642-0055","801-642-0060","","2009","","Principal","Charne Adams","cadams@ahemail.com"
"American Heritage School","NZ","American Heritage School Salt Lake Campus","951","Private","","","?","K - 12","142 W 200 North","SALT LAKE CITY","84103","geo:40.77414,-111.89529","https://slc.americanheritageschool.org","","801-642-0055","","","2022","","Administrator","","landerson@ahsmail.com"
"American Leadership Academy","8B","American Leadership Academy","100","Public","Charter","Title I","?","K - 12","898 W 1100 S","SPANISH FORK","84660","geo:40.095199,-111.669723","http://www.americanleadership.net","https://datagateway.schools.utah.gov/Schools/8B100","801-794-2226","801-794-2130","State Charter School Board (SCSB)","2005","","Coordinator","Richard Morley","rmorley@americanleadership.net"
"American Legacy Academy","MQ","American Legacy Academy","901","Private","","","?","K - 6","1526 W 1730 N","PROVO","84604","geo:40.38142,-111.798691","","","801-756-4020","801-756-4020","","2007","","Principal","",""
"American Preparatory Academy","74","American Preparatory Academy","100","Public","Charter","","?","K - 6","12892 S PONY EXPRESS RD","DRAPER","84020","geo:40.517489,-111.891825","http://www.americanprep.org","https://datagateway.schools.utah.gov/Schools/74100","801-553-8500","801-576-9300","State Charter School Board (SCSB)","2003","","Superintendent","Carolyn Sharette","gortega@apamail.org"
"American Preparatory Academy","74","American Preparatory Academy - Accelerated School","110","Public","Charter","Title I","?","K - 12","3636 W 3100 S","WEST VALLEY CITY","84120","geo:40.703925,-111.978019","http://www.americanprep.org/home/","https://datagateway.schools.utah.gov/Schools/74110","385-351-3090","385-351-3089","State Charter School Board (SCSB)","2011","","Director","Carolyn Sharette","gortega@apamail.org"
"American Preparatory Academy","74","American Preparatory Academy - Draper #2","130","Public","Charter","","?","K - 6","11938 South Lone Peak Parkway","DRAPER","84020","geo:40.516862,-111.891658","http://www.americanprep.org","https://datagateway.schools.utah.gov/Schools/74130","801-810-3590","801-810-3589","State Charter School Board (SCSB)","2013","","Superintendent","Carolyn Sharette","gortega@apamail.org"
"American Preparatory Academy","74","American Preparatory Academy - Draper #3","700","Public","Charter","","?","7 - 12","11938 LONE PEAK PARKWAY","DRAPER","84020","geo:40.53428,-111.90101","www.americanprep.org","https://datagateway.schools.utah.gov/Schools/74700","801-810-3590","801-810-3589","State Charter School Board (SCSB)","2014","","Director","Carolyn Sharette","gortega@apamail.org"
"American Preparatory Academy","74","American Preparatory Academy - Salem","140","Public","Charter","","?","K - 10","1195 S. Elk Ridge Drive","SALEM","84653","geo:40.036522,-111.691674","salem.americanprep.org","https://datagateway.schools.utah.gov/Schools/74140","801-465-4434","801-465-7808","State Charter School Board (SCSB)","2016","","Superintendent","Carolyn Sharette","gortega@apamail.org"
"American Preparatory Academy","74","American Preparatory Academy - The School for New Americans","120","Public","Charter","Title I","?","K - 6","1255 W CRYSTAL AVE.","WEST VALLEY CITY","84119","geo:40.713291,-111.928256","http://www.americanprep.org/home/","https://datagateway.schools.utah.gov/Schools/74120","801-839-3613","801-839-3626","State Charter School Board (SCSB)","2009","","Superintendent","Carolyn Sharette","gortega@apamail.org"
"Ameris Academy Inc.","AI","Ameris Academy Inc.","901","Private","","","?","Pre - 12","2650 South Decker Lake Lane","SALT LAKE CITY","84107","geo:40.712,-111.944","","","801-327-8776","","","2021","","Administrator","","cloudvii99@yahoo.com"
"Aneth Community School","JB","Aneth Community School","904","Private","","","?","Pre - 6","P O BOX 600","MONTEZUMA CREEK","84534","geo:37.260728,-109.303462","http://www.aneth.org/","","435-651-3271","","","1995","","Principal","Rena Yazzie","william.royal@bie.edu"
"Angie's Kinder Academy","AK","Angie's Kinder Academy","901","Private","","","?","Pre - K","3523 West 5600 South","ROY","84067","geo:41.1615755,-112.0650142","www.angieskinderacademy.net","","801-731-7315","","","2014","","Director","",""
"Anthem Preparatory School","MN","Anthem Preparatory School","950","Private","","","?","Pre - 12","11100 S REDWOOD RD","SOUTH JORDAN","84009","geo:40.549444,-111.938834","","","801-254-3882","801-523-6357","","2006","","Principal","Steven Yorgason","eyjorgason@ahsjschool.org"
"Arches Academy","JS","Arches Academy","916","Private","","","?","K - 8","280 SOUTH 400 EAST","OREM","84097","geo:40.291897,-111.685991","www.archesacademy.com","","801-374-5480","801-374-5491","","2002","","Principal","Annette Warnick","info@archesacademy.com"
"Ascent Academies of Utah","2J","Ascent Academies of Utah - West Valley","330","Public","Charter","Title I","?","K - 6","5685 West Cilma Drive","WEST VALLEY CITY","84128","geo:40.68806,-112.02658","","https://datagateway.schools.utah.gov/Schools/2J330","801-685-0228","","State Charter School Board (SCSB)","2018","","Principal","Amanda Barbosa","abarbosa@ascentutah.org"
"Ascent Academies of Utah","2J","Ascent Academies of Utah Farmington","300","Public","Charter","","?","K - 9","22 South 650 West","FARMINGTON","84025","geo:41.0604571,-111.9782869","www.ascentutah.org","https://datagateway.schools.utah.gov/Schools/2J300","385-220-2200","","State Charter School Board (SCSB)","2014","","Principal","Clayton Reid","creid@ascentutah.org"
"Ascent Academies of Utah","2J","Ascent Academies of Utah Lehi","320","Public","Charter","","?","K - 9","2199 W 900 N","LEHI","84043","geo:40.3986691,-111.8870765","http://lehi.ascentutah.org/","https://datagateway.schools.utah.gov/Schools/2J320","385-374-9641","","State Charter School Board (SCSB)","2015","","Director","Tricia Remington","tremington@ascentutah.org"
"Ascent Academies of Utah","2J","Ascent Academies of Utah Saratoga Springs","100","Public","Charter","","?","K - 6","992 Chianti Street","SARATOGA SPRINGS","84043","geo:40.39183,-111.94227","www.ascentutah.org","https://datagateway.schools.utah.gov/Schools/2J100","385-275-0909","","State Charter School Board (SCSB)","2022","","Administrator","Jill Hawkins","jhawkins@ascentutah.org"
"Ascent Academies of Utah","2J","Ascent Academies of Utah West Jordan","310","Public","Charter","","?","K - 9","5662 W 8200 S","WEST JORDAN","84081","geo:40.602369,-112.0289025","www.AscentUtah.org","https://datagateway.schools.utah.gov/Schools/2J310","385-275-0909","","State Charter School Board (SCSB)","2014","","Director","Crystal Thomas","cthomas@ascentutah.org"
"ASU Prep Digital Global","AU","ASU Prep Digital Global","901","Private","","","?","7 - 12","POBox 877304","TEMPE","85287","geo:33.42296,-111.92103","asuprepdigital.org","","602-513-9908","","","2021","","Administrator","",""
"Athenian eAcademy","4K","Athenian eAcademy","300","Public","Charter","","?","K - 12","765 E. 340 S. Suite 203","AMERICAN FORK","84003","geo:40.370171,-111.7795587","www.aea.rocks","https://datagateway.schools.utah.gov/Schools/4K300","385-715-5400","385-265-4308","State Charter School Board (SCSB)","2015","","Administrator","","hollylepisto@aea.rocks"
"Athlos Academy of Utah","1L","Athlos Academy of Utah","300","Public","Charter","Title I","?","K - 9","12309 South Mustang Trail Way","HERRIMAN","84096","geo:40.526455,-112.0339179","www.athlosutah.org","https://datagateway.schools.utah.gov/Schools/1L300","801-438-4619","","State Charter School Board (SCSB)","2016","","Principal","Brian Dawes","bdawes@athlosutah.org"
"Autism Solutions","AS","Autism Solutions","910","Private","","","?","Pre - 6","12222 South 1000 East Ste. 3","DRAPER","84020","geo:40.5288213,-111.8648769","autismsolutionsutah.com","","801-987-3592","","","2017","","Director","",""
"Autism Solutions","AS","Autism Solutions Academy - Layton","920","Private","","","?","K - 12","12222 S. 1000 E. #3","DRAPER","84020","geo:41.0865718,-111.9749653","autismsolutionsutah.com","","801-987-3592","801-753-0397","","2017","","Director","",""
"Bear River Charter School","3G","Bear River Charter School","100","Public","Charter","","?","K - 8","75 S 400 W","LOGAN","84321","geo:41.730152,-111.845523","http://www.brcs-logan.org","https://datagateway.schools.utah.gov/Schools/3G100","435-753-8811","855-661-6118","State Charter School Board (SCSB)","2010","","Director","","j.adams@brcs-logan.org"
"Beaver District","02","Beaver High","704","Public","","","?","7 - 12","195 E CENTER P O BOX 71","BEAVER","84713","geo:38.274832,-112.638077","http://www.bhs.beaver.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/02704","435-438-2301","435-438-1519","","1974","","Principal","Brady Fails","brady.fails@beaver.k12.ut.us"
"Beaver District","02","Beaver Preschool","100","Public","","","?","Pre","290 N MAIN P O BOX 31","BEAVER","84713","geo:38.277783,-112.640903","","https://datagateway.schools.utah.gov/Schools/02100","435-438-2291","","","2002","","Director","","russell.carter@m.beaver.k12.ut.us"
"Beaver District","02","Belknap School","104","Public","","Title I","?","K - 6","500 N 650 E P O BOX 686","BEAVER","84713","geo:38.278523,-112.64197","http://www.bes.beaver.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/02104","435-438-2281","435-438-5385","","1938","","Principal","Brad Harris","brad.harris@beaver.k12.ut.us"
"Beaver District","02","Milford High","708","Public","","","?","7 - 12","62 N 300 W P O BOX 159","MILFORD","84751","geo:38.397911,-113.013508","http://www.mhs.beaver.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/02708","435-387-2751","435-387-2494","","1974","","Principal","David Cluff","david.cluff@beaver.k12.ut.us"
